"Variable","Variable Names","Measurement Units","Allowed Values","Question","Description of Variable"
"Q178","Investment_7","integer",NA,"If you were misled or defrauded, did you report it to anyone?","1 = Yes, 2 = No, 3 = Not applicable"
"Q179","Investment_8","integer","1-3","Why didn't you report the incident? - Selected Choice",""
"Q179_6_TEXT","Investment_9","character","Text","Why didn't you report the incident? - Other: - Text","This is the explanatory text they completed if they chose other on the previous quesiton."
"Q11","Fraud_1","integer","1-7","How able are you to detect a fraudulent investment? (select one)","1 = not at all able to detect, 7 = very able to detect"
"Q13","Fraud_2","integer","1-7","How likely are you to make a fraudulent investment? (select one)","1 = not at all likely, 7 = very likely"
"Q15","Fraud_3","integer","1-7","How able are you to resist high-pressure sales tactics when buying investments? (select one)","1 = not at all able to resist, 7 = very able to resist"
"Q17","Fraud_4","integer","1-2","Have you ever encountered a situation in which someone was pitching a potentially fraudulent investment, but you avoided investing or losing money?  (select one)","1 = Yes, 2 = No"
"Q19","Fraud_5","integer","Positive integers","If yes, how many times has this happened?","This is the explanatory text they answered yes on the previous quesiton."
"Q21","Fraud_6","factor","1-7","If yes, in which situation(s) did you encounter the potentially fraudulent investment (select one or more)","1 = Mail, 2 = Phone call, 3 = Email, 4 = Website, 5 = Seminar, 
6 = Other, 7 = Not applicable"
"Q23","Fraud_7","character","Text","Please describe the potentially fraudulent situation(s).",""
"Q25","Fraud_8","factor","1-6","If yes, who was offering the potentially fraudulent investment? (select one or more)","1 = Stranger, 2 = Co-worker, 3 = Friend, 4 = Family member, 5 = Other, 6 = Not applicable"
"Q27","Fraud_9","character","Text","Please describe who was offering the potentially fraudulent investment.",""
"Q199_1","AVI_1","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Enthusiastic","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q199_2","AVI_2","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Dull","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q199_3","AVI_3","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Excited","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q199_4","AVI_4","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Sleepy","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q199_5","AVI_5","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Strong","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q199_6","AVI_6","integer","1-5","Listed below are a number of words that describe feelings. Some of the feelings are very similar to
each other, whereas others are very different from each other. Read each word and then select how
often YOU ACTUALLY HAVE that feeling over the course of a typical week:
Over the course of a typical week, I ACTUALLY feel‰Û_ - Sluggish","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_1","AVI_7","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Euphoric","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_2","AVI_8","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Idle","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_3","AVI_9","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Aroused","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_4","AVI_10","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Rested","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_5","AVI_11","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Astonished","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q201_6","AVI_12","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Quiet","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_1","AVI_13","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Surprised","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_2","AVI_14","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Still","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_3","AVI_15","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Passive","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_4","AVI_16","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Inactive","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_5","AVI_17","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Fearful","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q203_6","AVI_18","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Calm","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_1","AVI_19","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Hostile","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_2","AVI_20","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Peaceful","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_3","AVI_21","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Nervous","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_4","AVI_22","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Relaxed","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_5","AVI_23","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Elated","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q204_6","AVI_24","integer","1-5","Over the course of a typical week, I ACTUALLY feel‰Û_ - Lonely","1 = Never, 2 = A small amount of time, 3 = Half of the time, 4 = Most of the time, 5 = All of the time"
"Q211","Numeracy_1","integer","Positive integers","Imagine that we roll a fair, six-sided die 1,000 times. (That would mean that we roll one die from a pair of dice.) Out of 1,000 rolls, how many times do you think the die would come up as an even number?",""
"Q213","Numeracy_2","numeric","Positive integers","In the BIG BUCKS LOTTERY, the chances of winning a $10.00 prize are 1%. What is your
best guess about how many people would win a $10.00 prize if 1,000 people each buy a single
ticket from BIG BUCKS?",""
"Q215","Numeracy_3","numeric","decimal","In the ACME PUBLISHING SWEEPSTAKES, the chance of winning a car is 1 in 1,000.
What percent of tickets of ACME PUBLISHING SWEEPSTAKES win a car?",""
"Q217","Numeracy_4","integer","1-3","Which of the following numbers represents the biggest risk of getting a disease?","1 = 1 in 100, 2 = 1 in 1000, 3 = 1 in 10"
"Q219","Numeracy_5","integer","1-3","Which of the following numbers represents the biggest risk of getting a disease?","1 = 1%, 2 = 10%, 3 = 5%"
"Q221","Numeracy_6","character","Text","If Person A‰Ûªs risk of getting a disease is 1% in ten years, and Person B‰Ûªs risk is double that of
A‰Ûªs, what is B‰Ûªs risk?",""
"Q223","Numeracy_7","character","Text","If Person A‰Ûªs chance of getting a disease is 1 in 100 in ten years, and person B‰Ûªs risk is
double that of A, what is B‰Ûªs risk?",""
"Q225_1","Numeracy_8","character","Text","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 100?",""
"Q225_2","Numeracy_9","character","Text","If the chance of getting a disease is 10%, how many people would be expected to get the disease: - Out of 1000?",""
"Q227","Numeracy_10","character","Text","If the chance of getting a disease is 20 out of 100, this would be the same as having what chance of survival?",""
"Q229","Numeracy_11","character","Text","The chance of getting a viral infection is .0005. Out of 10,000 people, about how many of them are expected to get infected?",""
"Q231","Numeracy_12","integer","1-2","Which of the following numbers represents the biggest risk of getting a disease?","1 = 1 chance in 12, 2 = 1 chance in 37"
"Q233","Numeracy_13","character","Text","Suppose you have a close friend who has a lump in her breast and must have a mammogram. Of 100 women like her, 10 of them actually have a malignant tumor and 90 of them do not. Of the 10 women who actually have a tumor, the mammogram indicates correctly that 9 of them have a tumor and indicates incorrectly that 1 of them does not have a tumor. Of the 90 women who do not have a tumor, the mammogram indicates correctly that 81 of them do not have a tumor and indicates incorrectly that 9 of them do have a tumor. The table below summarizes all of this information. Imagine that your friend tests positive (as if she had a tumor), what is the likelihood that she actually has a tumor?",""
"Q235","Numeracy_14","character","Text","Imagine that you are taking a class and your chances of being asked a question in class are
1% during the first week of class and double each week thereafter (i.e., you would have a
2% chance in Week 2, a 4% chance in Week 3, an 8% chance in Week 4). What is the
probability (in percent) that you will be asked a question in class during Week 7?",""
"Q237","Numeracy_1","integer","1-3","Suppose that 1 out of every 10,000 doctors in a certain region is infected with the SARS virus; in the same region, 20 out of every 100 people in a particular at-risk population also are infected with the virus. A test for the virus gives a positive result in 99% of those who are infected and in 1% of those who are not infected. A randomly selected doctor and a randomly selected person in the at-risk population in this region both test positive for the disease. Who is more likely to actually have the disease?","1 = The both tested positive for SARS and therefore are equally likely to have the disease, 
2 = They both tested positive for SARS and the doctor is more likely t0 have the disease, 
3 = They both tested positive for SARS and the person in the at-risk population is more likely to have the disease"
"Q224","Graph_Lit_1","integer","1-6","How good are you at working with bar charts?","1 = Not good at all, 6 = Extremely good"
"Q226","Graph_Lit_2","integer","1-6","How good are you at working with line plots?","1 = Not good at all, 6 = Extremely good"
"Q228","Graph_Lit_3","integer","1-6","How good are you at working with pie charts?","1 = Not good at all, 6 = Extremely good"
"Q230","Graph_Lit_4","integer","1-6","How good are you at inferring the size of a bar in a bar chart?","1 = Not good at all, 6 = Extremely good"
"Q232","Graph_Lit_5","integer","1-6","How good are you at determining the difference between 2 bars in a bar
chart?","1 = Not good at all, 6 = Extremely good"
"Q234","Graph_Lit_6","integer","1-6","How good are you at projecting a future trend from a line chart?","1 = Not good at all, 6 = Extremely good"
"Q236","Graph_Lit_7","integer","1-6","Are graphs easier to understand than numbers?","1 = Not at all, 6 = Much easier"
"Q238","Graph_Lit_8","integer","1-6","How often do you find graphical information to be useful?","1 = Never, 6 = Very often"
"Q240","Graph_Lit_9","integer","1-6","To what extent do you believe in the saying ‰Û÷‰Û÷a picture is worth one thousand
words‰Ûª‰Ûª?","1 Not at all, 6 = Extremely"
"Q242","Graph_Lit_10","integer","1-6","When reading books or newspapers, how helpful do you find graphs that are
part of a story?","1 Not at all, 6 = Extremely"
"Q245.1","DOB","mm/dd/yyyy","mm/dd/yyyy","Please enter your date of birth (mm/dd/yyyy)",""
