"ID","Age","Gender","Education","Race","Income","Health","PRAC1","PRAC2","PRAC3","X0_5_95","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CATCH1","CATCH2","X0.5_5_95","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CATCH1.1","CATCH2.1","n0.5_5_95","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CATCH1.2","CATCH2.2","X5_5_95","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CATCH1.3","CATCH2.3","n5_5_95","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CATCH1.4","CATCH2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1"
11,73,"1","6","1","16","2","1","2","2","2","1","2","2","1","2","1","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","1","1","3","3","1","3","15000","4","1","","2","6","Did not feel decieved","2","2","6","2","","","","","","2","2","2","2","3","2","2","3","2","3","2","4","2","3","3","3","1","3","2","3","2","3","2","1","500","10","0.1","3","2","2%","2 in 100","10","100","80 out of 100","5","1","1/264","64","3","5","5","5","4","4","2","3","4","2","4","9/6/45"
12,69,"1","3","1","13","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","4","4","1","5","3","3","1","10","1000000","1","2","","2","2","","1","1","7","2","","","","","","4","2","4","1","4","2","4","2","2","4","3","2","1","3","2","4","1","4","1","4","1","4","3","1","500","10","1","3","2","2","2","10","100","20%","5","1","50%","64","3","4","4","5","4","5","5","1","3","4","1","2/27/50"
13,58,"1","5","1","16","4","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","2","2","2","2","2","1","2","4","3","4","4","3","4","1","2","10000","3","2","","2","2","","5","5","6","2","","","","","","2","3","3","2","4","3","2","3","3","4","2","3","2","3","3","4","2","3","2","3","3","2","4","4","500","10","0.1","2","2","0.5","1/100","0.1","0.001","20","10","2","50","1","2","4","4","5","4","5","3","4","4","4","4","12/9/60"
14,30,"2","2","3","1","5","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","1","1","1","1","2","1","2","5","5","5","5","5","5","1","1","500","4","2","","2","3","","7","7","7","2","","","","","","5","5","5","4","3","2","1","2","3","4","5","5","5","5","4","3","2","1","1","2","3","5","5","5","30","30","40","2","2","1","0","0","0","0","0","1","0","0","1","6","6","6","6","6","6","6","6","5","5","9/12/88"
15,62,"1","3","1","7","4","1","2","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","4","4","3","4","4","4","1","","","5","1","","2","2","","6","2","7","1","10","5","","1","","4","2","4","4","3","2","3","4","2","3","1","3","2","3","3","3","1","4","2","4","3","4","3","1","50","2","1","2","1","2","2","10","100","20000000","2","1","1","64","1","4","4","4","4","4","4","4","4","4","4","10/23/56"
16,61,"1","3","1","5","5","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","3","5","4","3","4","2","1","1","13000","4","4","","2","4","","4","1","7","2","","","","","","4","2","3","2","4","2","3","2","3","4","3","4","2","3","3","3","2","4","2","4","2","4","3","1","500","100","1","3","2","2","2","10","100","80","1","1","10","128","3","3","2","2","2","4","3","3","2","4","2","9/2/57"
17,64,"2","4","1","16","3","1","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","1","2","15000","4","3","","2","6","not the right thing to do.","2","1","1","2","","","","","","2","3","2","3","2","3","2","3","2","3","2","3","2","3","3","3","2","3","2","3","2","3","2","2","500","10","0.01","3","1","2","2","10","100","80","1","1","18","64","3","4","3","4","3","4","4","4","4","4","4","5/28/55"
18,64,"1","2","1","10","5","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1","2","2","2","2","2","1","2","","","","","","","","","","","","5","5","5","1","3","5","1","100","100000","4","2","","2","4","","7","1","7","2","","","","","","5","1","5","2","4","1","5","1","3","3","1","3","2","1","1","1","1","4","2","4","2","3","3","1","500","1","1","3","2","2","2","10","100","20","1","1","90","64","2","6","6","6","6","6","6","6","6","5","5","3/23/55"
19,74,"1","5","1","16","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","3","1","10","2000000","2","1","","2","2","","5","3","3","1","3","2","","1","","3","3","3","3","3","2","3","3","3","3","3","4","3","3","3","3","3","3","2","3","3","3","3","3","500","1000","0","3","2","2","2 in 100","10","100","80","5","1","50","64","3","5","3","4","4","4","4","4","4","3","3","10/1/44"
20,59,"2","2","1","16","4","1","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","2","2","1","2","1500","5","3","","2","2","","3","3","7","2","","","","","","4","2","4","3","4","3","3","2","2","2","2","2","2","1","1","1","1","4","2","4","1","4","3","2","50","1","0","3","2","20","2","10","100","50","10","1","1","14","1","2","2","4","4","4","4","5","4","5","4","9/5/59"
21,68,"1","2","1","3","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","4","4","3","3","4","3","1","1","500","4","2","","2","1","","5","4","3","2","","","","","","2","3","3","3","3","3","4","3","4","3","3","4","4","4","3","3","4","3","3","2","2","3","3","2","5","10","100","3","3","2","2","10","100","20","100","1","10","5","1","4","5","3","5","4","3","5","4","4","3","2/17/51"
22,69,"2","3","1","9","3","1","2","2","2","1","1","1","2","1","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","3","3","3","4","1","1","3000","4","2","","2","2","","5","3","6","1","1","2,5","","5","Real Estate saleman","4","2","3","2","4","2","2","2","3","3","2","3","2","2","2","2","1","4","2","4","2","4","2","2","500","10","0.01","3","2","2","2","10","100","20%","5","1","1","64","1","4","4","5","4","4","3","3","4","4","4","7/31/50"
23,67,"1","4","1","9","5","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","1","2","2","2","2","1","2","","","","","","","","","","","","1","5","4","4","5","4","1","1","8500","4","4","","2","5","","5","2","7","1","2","2","","1","","3","2","3","2","4","2","2","3","2","4","3","3","2","2","2","1","1","4","2","4","2","4","2","1","500","10","0.1","3","2","2%","2 in 100","10","100","20%","5","1","18%","64","1","5","5","5","5","5","5","6","6","4","5","9/21/51"
24,42,"2","6","3","16","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","4","5","5","4","3","3","1","twice","26000","4","1","","2","2","","4","3","7","2","","","","","","2","3","2","2","2","3","2","2","2","3","2","4","2","3","3","3","2","2","2","2","2","2","2","3","500","1","1","3","2","50","0.02","10","100","80","5","1","1","12","2","3","3","3","2","3","1","3","3","3","3","12/31/76"
25,72,"1","5","1","15","4","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","2","2","2","2","1","2","4","5","2","2","4","4","1","25","150000","1","1","","2","6","I did","6","1","7","1","15","2,3,5","","1","","4","2","2","2","4","2","3","3","3","4","2","3","2","3","2","2","2","4","2","4","2","4","2","1","500","10","0.1","3","2","2","0.2","10","100","20","5","1","10","64","3","5","5","5","5","5","4","4","6","4","5","9/22/47"
26,84,"1","4","1","10","3","1","2","1","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","4","4","4","1","1","150","4","1","","2","2","","4","5","5","2","","","","","","3","2","4","3","3","2","2","3","2","4","2","5","2","2","2","3","1","4","2","4","2","4","3","1","500","5","1","3","2","2%","2 in 100","1","10","80 out of 100","5","1","9  1. 10","100","2","1","1","1","1","1","1","1","1","1","1","4/12/35"
27,63,"1","4","1","12","4","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","3","4","4","4","4","4","1","1","1000","3","2","","2","2","","4","1","6","2","","","","","","4","2","4","2","4","4","4","3","1","4","4","3","2","3","3","2","4","2","2","4","4","3","2","2","500","10","0.1","3","2","2","2","10","100","80","5","1","10","10","1","5","5","5","5","6","4","5","4","4","4","11/4/55"
28,68,"1","4","1","8","4","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","1","2","2","2","1","2","4","4","4","5","4","4","1","7","15000","2","2","","2","2","","3","3","5","2","","","","","","3","2","3","2","4","2","3","2","3","4","2","3","2","3","3","2","2","4","2","4","2","4","2","1","500","10","0.1","3","2","2%","2%","10","100","80%","5","1","90","64","3","4","4","4","4","4","4","4","4","4","4","9/11/50"
29,56,"1","6","3","11","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","3","3","3","3","3","3","1","5","0","5","1","","2","4","","4","4","4","2","","","","","","3","3","4","2","3","3","3","3","3","4","3","2","3","2","4","4","3","3","3","4","4","4","3","2","50","35","30","3","3","None ","None ","10","100","I 5","20","2","None ","10","2","3","4","4","4","3","3","3","4","3","3","7/7/60"
30,74,"2","3","1","2","4","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","5","5","5","5","5","5","1","1","100k","1","4","","2","5","","4","4","5","2","","","","","","3","1","3","3","3","2","2","2","2","3","2","2","2","2","2","2","2","3","1","4","2","4","3","4","500","1","1","3","2","2%","2","10","100","80%","5","1","18%","14","3","5","4","4","4","5","4","4","6","4","4","12/30/44"
31,62,"2","2","1","3","5","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","3","3","4","4","3","4","1","once","20,000","4","4","","2","2","","4","1","7","2","","","","","","2","2","4","3","3","2","2","2","3","4","3","4","2","2","3","3","2","5","1","5","2","5","3","2","500","1","1","2","2","1%","1%","dont know","dont know","80","0.0005","1","dont know","16","3","1","1","1","1","1","1","1","1","1","1","4/29/57"
32,71,"1","2","1","6","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","4","4","4","5","4","3","1","1","500","4","3","","2","2","","4","3","6","2","","","","","","2","1","3","3","3","2","3","3","2","3","2","3","1","1","1","2","1","4","1","4","1","4","2","1","500","10","0.01","3","2","2% in ten years","2 in 100","10","100","80","5","1","10","64","2","3","2","4","3","4","3","4","3","3","3","2/6/48"
33,68,"1","6","1","13","4","1","1","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","2","4","2","2","3","3","1","1","2000","5","3","","2","6","The loss was not someone else's fault.  It was a market fluctuation.","1","1","7","2","","","","","","4","1","4","2","4","2","2","2","3","4","1","3","2","2","2","2","1","3","1","3","1","3","2","1","500","10","0.1","3","2","2% in 10 years","1 in 50","10","100","Question doesn't make sense.  The chance of NOT getting the disease is 80%, but we don't know what the survival rate is.","5","1","50%","64","1","5","5","5","5","4","2","5","4","3","4","2/12/51"
34,57,"1","4","1","14","2","1","1","1","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","5","5","2","2","1","twice","27000","4","3","","2","5","","4","2","7","1","3","1,3","","1","","3","2","2","1","4","2","1","2","2","4","2","3","1","2","2","2","1","4","2","4","2","3","1","1","500","10","1","3","2","2 percent in 10 years","2 in 1oo in ten years","10","100","1 in 5","5","1","18 percent","64","3","1","2","3","4","6","6","1","4","1","3","1/3/62"
35,70,"1","5","1","11","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","4","5","2","4","4","1","1","100000","4","4","","2","1","","5","2","6","1","1","2","","1","","4","2","4","3","3","2","3","2","4","1","3","2","2","2","3","3","3","4","1","4","2","2","4","3","500","10","0.01","3","2","2%","2","10","100","80%","5","1","10%","64","3","3","3","2","3","3","4","5","5","4","4","12/6/48"
36,64,"1","3","1","8","4","2","2","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","2","4","2","2","4","2","1","to many to count","20000","1","2","","","6","report what! the market took a downward turn!","5","1","7","2","","","","","","4","1","3","2","4","2","1","1","2","3","1","3","2","2","2","2","2","4","2","3","2","4","2","1","500","10","1","3","2","2","2","10","100","80","5","1","90%","64","3","3","3","3","3","3","3","3","3","4","3","10/18/54"
37,73,"1","3","1","13","4","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","1","2","2","1","2","","","","","","","","","","","","2","4","4","3","4","4","1","2","5000","4","1","","2","6","","6","1","7","1","1","2","","1","","4","1","3","2","5","2","2","2","3","4","4","1","2","3","3","1","1","4","2","4","1","4","4","1","400","2","2","3","2","2","2","10","100","80","0.1","2","9","100","2","4","4","5","4","3","4","5","4","4","4","7/5/46"
38,64,"2","4","1","6","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","4","3","3","1","2","10,000","4","4","","2","4","","6","1","7","1","3","1,2,4,5","","1","","2","5","2","4","3","3","1","3","1","4","2","4","3","4","4","4","2","4","1","4","2","4","2","3","500","10","0.1","3","2","0.20%","0.20%","10","100","N/a","5","1","50%","64","3","6","6","6","6","6","6","3","4","5","4","2/2/55"
39,60,"2","3","1","14","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","1","1","1","1","2","1","2","","","","","","","","","","","","4","4","4","4","4","4","1","2","5000","4","1","","2","2","","5","2","7","1","1","6","My brother in law always has some scam going.","4","","2","2","2","2","2","2","1","1","1","1","1","3","2","2","2","2","1","2","2","2","1","2","1","1","500","1","1","3","2","2","1 in 50","10","100","1 out of 5","5","1","50","100","1","4","4","5","5","6","5","5","5","5","4","1/6/59"
40,69,"1","3","1","8","3","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","1","2","2","2","1","2","1","2","2","4","3","4","4","3","1","2","9000","4","4","","2","1","","5","4","5","1","1","6","race track","1","","3","2","2","3","2","2","3","3","2","2","2","2","2","2","2","2","1","3","1","2","1","2","2","1","555","25","0.0001","3","2","2","2","10","100","1 out of 5","5","1","Sep-50","64","3","4","4","4","4","4","4","3","3","3","3","6/21/50"
41,75,"1","5","1","9","5","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","2","2","2","2","2","1","2","4","4","4","3","3","3","1","2","150,000","4","2","","2","4","","6","2","7","1","1","5","","1","","4","2","4","3","4","1","3","2","3","4","2","4","2","3","3","3","1","5","2","4","2","4","2","2","500","10","0.001","3","2","2%","0.02","10","100","not determinable","5","1","90%","64","2","5","4","5","5","5","5","4","4","3","4","10/17/43"
42,67,"1","4","8","16","5","2","2","2","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","3","3","3","3","1","no idea","no idea","1","1","","2","6","my mistake","6","1","7","1","2","2","","1","","3","2","3","3","3","2","2","2","2","4","2","3","2","2","3","2","2","3","2","2","2","2","2","2","500","10","0.1","3","2","2%","2%","10","100","80","5","1","1","64","3","4","4","4","4","4","4","4","5","3","3","5/4/52"
43,59,"2","4","1","13","4","1","2","1","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","4","3","1","5","10000","2","2","","2","6","No reason to report it ","7","1","7","1","2","5","","1","","4","2","3","2","2","1","2","2","1","3","1","2","2","2","3","1","1","3","1","4","1","3","3","1","500","10","0.01","3","2","2%","2 in 100","10","100","80%","5","1","90^","74","3","4","4","4","4","6","4","5","6","5","4","2/22/60"
44,74,"1","4","1","8","4","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","4","4","1","1","5000","4","3","","2","5","","4","2","6","1","1","5","","1","","4","2","4","3","4","2","3","3","2","3","2","4","3","3","3","3","2","4","2","4","3","4","3","2","500","10","0.001","3","2","2","2","10","100","5","50","1","964","64","1","4","4","4","4","6","3","4","5","5","5","7/4/45"
45,64,"2","4","1","7","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","2","5","5","5","1","1","1","No idea","No idea","1","4","","2","6","I followed advice but ultimately it was my decision","1","1","7","1","1","5","","1","","4","2","3","3","4","3","2","2","3","4","1","2","2","2","3","2","2","4","2","4","2","4","2","1","250","10","1","3","2","50","2 in a hundred in ten years","10","100","80%","5000","1","90%","64","2","3","3","4","3","4","3","2","3","3","3","5/22/55"
46,72,"1","5","1","11","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","5","4","4","1","5","1","1","25","1000000","1","4","","2","1","","4","4","7","1","1","2","","1","","2","3","3","3","2","4","2","4","2","2","2","2","2","4","4","4","3","4","2","4","3","4","3","3","500","10","0.1","3","2","2%","2%","10","100","80%","5","1","18","100","3","5","5","5","5","5","4","6","6","5","5","12/7/46"
47,53,"1","4","1","10","5","1","2","2","","","","","","","","","","","","1","1","1","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","3","5","5","3","1","1","500","5","4","","2","2","","6","1","7","1","10","2,3,5","","1,4","","4","2","3","2","4","2","3","2","3","4","2","2","3","2","2","2","2","4","1","4","2","4","3","2","500","1","1","3","2","2%","1 in 50","10","100","1 in 5","20","2","1 in 9","64","3","3","4","4","2","2","4","3","3","4","3","8/31/65"
48,69,"2","4","1","8","3","1","2","2","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","4","4","3","1","Donâ€™t know ","None ","4","2","","2","2","","5","3","5","1","1","2","","","","3","2","3","2","2","2","2","2","2","2","3","3","3","3","2","3","2","4","2","2","2","2","2","2","500","10","1","2","1","10","10","10","100","20","25","1","18","20","3","1","2","3","4","3","2","3","4","2","3","6/19/50"
49,76,"1","5","1","16","4","1","2","1","1","1","1","1","1","2","1","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","2","4","4","2","1","3","20","3","","","2","6","Was a gamble","5","2","5","2","","","","","","2","3","2","3","2","3","2","4","2","4","2","4","2","4","4","3","1","4","1","4","2","4","3","3","500","50","0.1","3","2","2%","2 in 100 in 10 years","10","100","80%5","5","1","90%","64","2","5","5","5","5","6","5","5","5","4","4","10/22/42"
50,40,"2","4","2","5","4","2","2","1","","","","","","","","","","","","1","1","1","1","2","2","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","1","1","100","3","3","","2","6","I was somewhat new at investing ","1","7","7","2","","","","","","4","1","4","2","4","1","3","1","3","2","3","3","3","1","2","1","2","3","1","5","1","3","4","1","3","1","1","3","2","10","10","1","1","80","10","1","1","1","3","4","3","3","3","3","3","1","3","4","3","6/6/75"
